"OBJECTID","LOWWELL","SPECIES"
10704,"None","Lagerstroemia indica"
10705,"None","Prunus cerasifera/blireiana"
10706,"None","Lagerstroemia indica"
10707,"None","Lagerstroemia indica"
10708,"None","Ginkgo biloba"
10709,"None","Acer sp"
10710,"None","Aesculus carnea"
10711,"None","Pyrus calleryana cvs"
10712,"None","Prunus cerasifera/blireiana"
10713,"Low","Acer sp"
10714,"None","Podocarpus gracilior"
10715,"None","Acacia melanoxylon"
10716,"None","Pyrus kawakami"
10717,"None","Jacaranda acutifolia"
10718,"None","Callistemon sp"
10719,"None","Callistemon sp"
10720,"Moderate","Callistemon sp"
10721,"None","Podocarpus gracilior"
10722,"None","Ginkgo biloba"
10723,"None","Cordyline australis"
10724,"None","Eucalyptus globulus"
10725,"Low","Prunus sp"
10726,"None","Quercus sp"
10727,"None","Fraxinus sp"
10728,"Low","Prunus cerasifera/blireiana"
10729,"Low","Acer sp"
10730,"Moderate","Robinia hybrid"
10731,"None","Malus sp"
10732,"None","Fraxinus sp"
10733,"Low","Magnolia grandiflora"
10734,"None","Platanus acerifolia"
10735,"None","Platanus acerifolia"
10736,"None","Fraxinus sp"
10737,"None","Ulmus parvifolia"
10738,"None","Liquidambar styraciflua"
10739,"None","Dead"
10740,"None","Platanus acerifolia"
10741,"None","Prunus cerasifera/blireiana"
10742,"None","Prunus sp"
10743,"None","Other"
10744,"Low","Pyrus kawakami"
10745,"None","Pyrus kawakami"
10746,"Low","Magnolia grandiflora"
10747,"Low","Platanus acerifolia"
10748,"Low","Platanus acerifolia"
10749,"Moderate","Magnolia grandiflora"
10750,"None","Fraxinus sp"
10751,"None","Other"
10752,"None","Cinnamomum camphora"
10753,"None","Podocarpus gracilior"
10754,"None","Platanus acerifolia"
10755,"None","Fraxinus o. `Raywood'"
10756,"None","Platanus acerifolia"
10757,"None","Fraxinus sp"
10758,"None","Magnolia grandiflora"
10759,"None","Prunus cerasifera/blireiana"
10760,"Low","Ginkgo biloba"
10761,"None","Jacaranda acutifolia"
10762,"None","Pittosporum sp"
10763,"Moderate","Platanus acerifolia"
10764,"None","Fraxinus o. `Raywood'"
10765,"None","Dead"
10766,"None","Malus floribunda"
10767,"None","Lagerstroemia indica"
10768,"None","Betula sp"
10769,"None","Schinus terebinthefolia"
10770,"None","Acer sp"
10771,"None","Geijera parvifolia"
10772,"Moderate","Geijera parvifolia"
10773,"Low","Prunus sp"
10774,"None","Pyrus calleryana cvs"
10775,"None","Fraxinus sp"
10776,"Low","Prunus serrulata"
10777,"None","Fraxinus sp"
10778,"None","Other"
10779,"None","Ficus retusa nitida"
10780,"Low","Fraxinus o. `Raywood'"
10781,"None","Morus alba"
10782,"None","Pinus sp"
10783,"None","Sapium sebiferum"
10784,"None","Platanus acerifolia"
10785,"None","Fraxinus sp"
10786,"None","Pyrus kawakami"
10787,"Low","Pyrus calleryana cvs"
10788,"None","Pyrus calleryana cvs"
10789,"None","Dead"
10790,"None","Liquidambar styraciflua"
10791,"None","Podocarpus gracilior"
10792,"Moderate","Fraxinus o. `Raywood'"
10793,"None","Schinus terebinthefolia"
10794,"Low","Pyrus kawakami"
10795,"Low","Platanus acerifolia"
10796,"None","Tristaniopsis I. `Elegant"
10797,"None","Fraxinus sp"
10798,"Low","Gleditsia triacanthos"
10799,"None","Acer sp"
10800,"None","Acer sp"
10801,"None","Magnolia grandiflora"
10802,"None","Platanus acerifolia"
10803,"None","Prunus sp"
10804,"Low","Other"
10805,"None","Fraxinus sp"
10806,"None","Metrosideros excelsus"
10807,"None","Fraxinus sp"
10808,"Low","Catalpa sp"
10809,"None","Prunus sp"
10810,"None","Pyrus calleryana cvs"
10811,"None","Crataegus phaenopyrum"
10812,"Low","Quercus sp"
10813,"None","Gleditsia triacanthos"
10814,"Low","Quercus sp"
10815,"None","Taxas sp"
10816,"None","Pyrus calleryana cvs"
10817,"None","Liquidambar styraciflua"
10818,"None","Dead"
10819,"None","Magnolia grandiflora"
10820,"Low","Acer sp"
10821,"Low","Platanus acerifolia"
10822,"None","Prunus cerasifera/blireiana"
10823,"None","Liquidambar styraciflua"
10824,"None","Photinia sp"
10825,"Low","Platanus acerifolia"
10826,"Low","Cedrus sp"
10827,"Low","Dead"
10828,"None","Platanus acerifolia"
10829,"Low","Geijera parvifolia"
10830,"None","Pyrus calleryana cvs"
10831,"Low","Albizia julibrissin"
10832,"None","Prunus sp"
10833,"Low","Platanus acerifolia"
10834,"Low","Platanus acerifolia"
10835,"None","Washingtonia robusta"
10836,"None","Washingtonia robusta"
10837,"None","Other"
10838,"None","Magnolia grandiflora"
10839,"Low","Pyrus kawakami"
10840,"None","Juniperus sp"
10841,"None","Magnolia grandiflora"
10842,"None","Magnolia grandiflora"
10843,"None","Prunus sp"
10844,"None","Ulmus parvifolia"
10845,"None","Arbutus sp"
10846,"None","Pyrus calleryana cvs"
10847,"None","Prunus cerasifera/blireiana"
10848,"Moderate","Pyrus calleryana cvs"
10849,"Moderate","Lagerstroemia indica"
10850,"None","Geijera parvifolia"
10851,"None","Prunus cerasifera/blireiana"
10852,"None","Acer sp"
10853,"None","Prunus cerasifera/blireiana"
10854,"High","Magnolia grandiflora"
10855,"Moderate","Lagerstroemia indica"
10856,"None","Schinus terebinthefolia"
10857,"Low","Pyrus kawakami"
10858,"None","Acer sp"
10859,"None","Podocarpus gracilior"
10860,"None","Podocarpus gracilior"
10861,"None","Pyrus kawakami"
10862,"Low","Prunus sp"
10863,"None","Podocarpus gracilior"
10864,"Moderate","Acer sp"
10865,"None","Tristaniopsis I. `Elegant"
10866,"Low","Pyrus calleryana cvs"
10867,"None","Liquidambar styraciflua"
10868,"None","Liquidambar styraciflua"
10869,"None","Shrub"
10870,"Moderate","Ginkgo biloba"
10871,"Low","Platanus acerifolia"
10872,"Low","Liriodendron tulipifera"
10873,"Low","Other"
10874,"High","Ginkgo biloba"
10875,"None","Geijera parvifolia"
10876,"None","Nerium oleander"
10877,"Low","Platanus acerifolia"
10878,"None","Acacia longifolia"
10879,"None","Banana"
10880,"None","Dead"
10881,"None","Prunus sp"
10882,"None","Pyrus calleryana cvs"
10883,"None","Pyrus kawakami"
10884,"None","Fraxinus sp"
10885,"None","Prunus sp"
10886,"Low","Magnolia grandiflora"
10887,"Moderate","Dead"
10888,"None","Ficus retusa nitida"
10889,"None","Fraxinus sp"
10890,"Moderate","Prunus cerasifera/blireiana"
10891,"Low","Pyrus calleryana cvs"
10892,"None","Cordyline australis"
10893,"Low","Platanus acerifolia"
10894,"None","Acer sp"
10895,"Low","Prunus cerasifera/blireiana"
10896,"None","Prunus cerasifera/blireiana"
10897,"None","Dead"
10898,"None","Magnolia grandiflora"
10899,"None","Prunus sp"
10900,"None","Schinus terebinthefolia"
10901,"Moderate","Unknown"
10902,"None","Platanus acerifolia"
10903,"Low","Prunus cerasifera/blireiana"
10904,"None","Fraxinus sp"
10905,"None","Pyrus calleryana cvs"
10906,"None","Prunus cerasifera/blireiana"
10907,"None","Other"
10908,"None","Fraxinus sp"
10909,"Low","Platanus acerifolia"
10910,"None","Prunus cerasifera/blireiana"
10911,"None","Crataegus phaenopyrum"
10912,"Low","Magnolia grandiflora"
10913,"None","Pyrus calleryana cvs"
10914,"None","Fraxinus o. `Raywood'"
10915,"None","Pyrus kawakami"
10916,"Low","Platanus acerifolia"
10917,"None","Fraxinus sp"
10918,"None","Other"
10919,"None","Malus sp"
10920,"None","Platanus acerifolia"
10921,"Moderate","Fraxinus sp"
10922,"Low","Lagerstroemia indica"
10923,"None","Acer sp"
10924,"Low","Fagus sylvatica"
10925,"None","Prunus cerasifera/blireiana"
10926,"None","Magnolia grandiflora"
10927,"None","Callistemon sp"
10928,"None","Prunus sp"
10929,"None","Magnolia grandiflora"
10930,"None","Pittosporum undulatum"
10931,"Low","Quercus agrifolia"
10932,"None","Lagerstroemia indica"
10933,"None","Prunus cerasifera/blireiana"
10934,"None","Pyrus calleryana cvs"
10935,"None","Pyrus kawakami"
10936,"None","Lagerstroemia indica"
10937,"None","Prunus sp"
10938,"None","Unknown"
10939,"None","Pyrus kawakami"
10940,"None","Pyrus calleryana cvs"
10941,"None","Sequoia sempervirens"
10942,"Moderate","Platanus acerifolia"
10943,"None","Podocarpus gracilior"
10944,"None","Geijera parvifolia"
10945,"None","Cinnamomum camphora"
10946,"None","Magnolia grandiflora"
10947,"Low","Lagerstroemia indica"
10948,"None","Prunus sp"
10949,"High","Ginkgo biloba"
10950,"Moderate","Koelreuteria sp"
10951,"None","Prunus cerasifera/blireiana"
10952,"None","Prunus sp"
10953,"None","Prunus cerasifera/blireiana"
10954,"None","Pyrus kawakami"
10955,"None","Fraxinus sp"
10956,"Low","Platanus acerifolia"
10957,"None","Pyrus calleryana cvs"
10958,"None","Prunus cerasifera/blireiana"
10959,"None","Geijera parvifolia"
10960,"None","Pyrus calleryana cvs"
10961,"None","Prunus cerasifera/blireiana"
10962,"None","Pyrus kawakami"
10963,"None","Pyrus kawakami"
10964,"Low","Platanus acerifolia"
10965,"None","Platanus acerifolia"
10966,"None","Platanus acerifolia"
10967,"Low","Platanus acerifolia"
10968,"Low","Schinus terebinthefolia"
10969,"Moderate","Ceratonia siliqua"
10970,"None","Fagus sylvatica"
10971,"Low","Pyrus calleryana cvs"
10972,"Low","Platanus acerifolia"
10973,"None","Acer sp"
10974,"High","Fagus sylvatica"
10975,"None","Prunus cerasifera/blireiana"
10976,"Low","Pyrus calleryana cvs"
10977,"None","Magnolia grandiflora"
10978,"None","Acer sp"
10979,"None","Lophostemon confertus"
10980,"None","Syzygium paniculatum"
10981,"Low","Podocarpus gracilior"
10982,"Low","Eucalyptus ficifolia"
10983,"Low","Prunus cerasifera/blireiana"
10984,"Low","Acer sp"
10985,"None","Robinia pseudoacacia"
10986,"None","Schinus terebinthefolia"
10987,"Moderate","Magnolia grandiflora"
10988,"None","Eucalyptus nicholii"
10989,"None","Fraxinus o. `Raywood'"
10990,"None","Pyrus calleryana cvs"
10991,"Moderate","Magnolia grandiflora"
10992,"None","Prunus sp"
10993,"None","Acer sp"
10994,"None","Pyrus calleryana cvs"
10995,"Low","Prunus cerasifera/blireiana"
10996,"None","Platanus acerifolia"
10997,"None","Pyrus calleryana cvs"
10998,"None","Cedrus sp"
10999,"None","Prunus cerasifera/blireiana"
11000,"Low","Platanus acerifolia"
11001,"None","Unknown"
11002,"None","Liquidambar styraciflua"
11003,"None","Platanus acerifolia"
11004,"None","Fraxinus sp"
11005,"None","Pyrus calleryana cvs"
11006,"None","Malus sp"
11007,"Moderate","Magnolia grandiflora"
11008,"None","Prunus sp"
11009,"Moderate","Robinia pseudoacacia"
11010,"None","Pyrus calleryana cvs"
11011,"High","Jacaranda acutifolia"
11012,"None","Washingtonia robusta"
11013,"None","Acer sp"
11014,"None","Prunus cerasifera/blireiana"
11015,"Moderate","Pyrus calleryana cvs"
11016,"Low","Podocarpus gracilior"
11017,"High","Prunus cerasifera/blireiana"
11018,"High","Podocarpus gracilior"
11019,"None","Platanus acerifolia"
11020,"None","Fraxinus sp"
11021,"Low","Platanus acerifolia"
11022,"High","Platanus acerifolia"
11023,"None","Ginkgo biloba"
11024,"None","Pistacia chinensis"
11025,"Moderate","Acer sp"
11026,"None","Fraxinus o. `Raywood'"
11027,"None","Platanus acerifolia"
11028,"None","Platanus acerifolia"
11029,"Low","Ulmus parvifolia"
11030,"None","Pistacia chinensis"
11031,"None","Pyrus kawakami"
11032,"None","Cinnamomum camphora"
11033,"None","Liquidambar styraciflua"
11034,"None","Lagerstroemia indica"
11035,"Moderate","Podocarpus gracilior"
11036,"None","Melaleuca sp"
11037,"None","Dead"
11038,"None","Lagerstroemia indica"
11039,"None","Gleditsia triacanthos"
11040,"High","Pyrus calleryana cvs"
11041,"None","Lagerstroemia indica"
11042,"None","Prunus sp"
11043,"None","Pyrus kawakami"
11044,"None","Acer sp"
11045,"None","Fraxinus sp"
11046,"None","Acer sp"
11047,"None","Gleditsia triacanthos"
11048,"High","Gleditsia triacanthos"
11049,"None","Platanus acerifolia"
11050,"Moderate","Gleditsia triacanthos"
11051,"None","Gleditsia triacanthos"
11052,"None","Schinus terebinthefolia"
11053,"Low","Celtis sp"
11054,"Low","Celtis sp"
11055,"Low","Celtis sp"
11056,"Low","Magnolia grandiflora"
11057,"None","Koelreuteria sp"
11058,"Low","Liquidambar styraciflua"
11059,"None","Platanus acerifolia"
11060,"Low","Other"
11061,"None","Lagerstroemia indica"
11062,"None","Celtis sp"
11063,"None","Podocarpus gracilior"
11064,"None","Pyrus calleryana cvs"
11065,"None","Magnolia grandiflora"
11066,"None","Cordyline australis"
11067,"Moderate","Fraxinus o. `Raywood'"
11068,"None","Lagerstroemia indica"
11069,"None","Liquidambar styraciflua"
11070,"None","Malus sp"
11071,"Low","Celtis sp"
11072,"None","Fraxinus sp"
11073,"None","Platanus acerifolia"
11074,"None","Fraxinus o. `Raywood'"
11075,"None","Prunus cerasifera/blireiana"
11076,"None","Platanus acerifolia"
11077,"None","Prunus cerasifera/blireiana"
11078,"Low","Arbutus sp"
11079,"None","Fraxinus sp"
11080,"Low","Magnolia grandiflora"
11081,"None","Pyrus kawakami"
11082,"Low","Prunus cerasifera/blireiana"
11083,"None","Ginkgo biloba"
11084,"None","Other"
11085,"None","Jacaranda acutifolia"
11086,"None","Celtis sp"
11087,"None","Fraxinus sp"
11088,"None","Other"
11089,"None","Pyrus calleryana cvs"
11090,"None","Gleditsia triacanthos"
11091,"None","Platanus acerifolia"
11092,"Moderate","Lagerstroemia indica"
11093,"None","Other"
11094,"None","Acer sp"
11095,"None","Liquidambar styraciflua"
11096,"None","Pyrus kawakami"
11097,"None","Gleditsia triacanthos"
11098,"None","Magnolia grandiflora"
11099,"None","Lagerstroemia indica"
11100,"None","Gleditsia triacanthos"
11101,"None","Magnolia grandiflora"
11102,"None","Celtis sp"
11103,"None","Lagerstroemia indica"
11104,"None","Other"
11105,"None","Fraxinus sp"
11106,"None","Platanus acerifolia"
11107,"None","Lagerstroemia indica"
11108,"None","Robinia sp"
11109,"None","Magnolia grandiflora"
11110,"None","Pyrus kawakami"
11111,"Moderate","Lagerstroemia indica"
11112,"High","Magnolia grandiflora"
11113,"Moderate","Liquidambar styraciflua"
11114,"None","Celtis sp"
11115,"None","Celtis sp"
11116,"None","Jacaranda acutifolia"
11117,"None","Podocarpus gracilior"
11118,"None","Pyrus calleryana cvs"
11119,"None","Geijera parvifolia"
11120,"None","Gleditsia triacanthos"
11121,"None","Celtis sp"
11122,"None","Raphiolepsis"
11123,"None","Melaleuca sp"
11124,"None","Crataegus phaenopyrum"
11125,"None","Platanus acerifolia"
11126,"None","Platanus acerifolia"
11127,"None","Magnolia grandiflora"
11128,"None","Celtis sp"
11129,"Low","Platanus acerifolia"
11130,"None","Fagus sylvatica"
11131,"None","Prunus cerasifera/blireiana"
11132,"None","Gleditsia triacanthos"
11133,"None","Ceratonia siliqua"
11134,"None","Prunus sp"
11135,"Low","Platanus acerifolia"
11136,"None","Fraxinus sp"
11137,"None","Gleditsia triacanthos"
11138,"None","Celtis sp"
11139,"Moderate","Prunus cerasifera/blireiana"
11140,"None","Platanus acerifolia"
11141,"None","Cinnamomum camphora"
11142,"None","Fraxinus sp"
11143,"Low","Magnolia grandiflora"
11144,"None","Liquidambar styraciflua"
11145,"None","Magnolia grandiflora"
11146,"None","Liquidambar styraciflua"
11147,"None","Fagus sylvatica"
11148,"None","Prunus cerasifera/blireiana"
11149,"None","Populus nigra Italica"
11150,"Moderate","Liquidambar styraciflua"
11151,"None","Liquidambar styraciflua"
11152,"None","Prunus cerasifera/blireiana"
11153,"None","Fraxinus sp"
11154,"None","Platanus acerifolia"
11155,"None","Liquidambar styraciflua"
11156,"None","Prunus sp"
11157,"None","Platanus acerifolia"
11158,"None","Acer sp"
11159,"High","Liquidambar styraciflua"
11160,"None","Pyrus calleryana cvs"
11161,"Low","Platanus acerifolia"
11162,"None","Fraxinus o. `Raywood'"
11163,"None","Pyrus calleryana cvs"
11164,"None","Magnolia grandiflora"
11165,"None","Pyrus kawakami"
11166,"None","Pyrus kawakami"
11167,"None","Magnolia grandiflora"
11168,"None","Pyrus calleryana cvs"
11169,"None","Pyrus calleryana cvs"
11170,"Low","Pistacia chinensis"
11171,"None","Fraxinus o. `Raywood'"
11172,"None","Lagerstroemia indica"
11173,"None","Syagrus romanzoffianum"
11174,"Low","Fraxinus o. `Raywood'"
11175,"None","Prunus cerasifera/blireiana"
11176,"None","Quercus sp"
11177,"None","Betula sp"
11178,"None","Pyrus calleryana cvs"
11179,"None","Pyrus calleryana cvs"
11180,"None","Pittosporum sp"
11181,"None","Ulmus parvifolia"
11182,"None","Fraxinus o. `Raywood'"
11183,"None","Olea europaea"
11184,"None","Pyrus kawakami"
11185,"Low","Persea sp / avocado"
11186,"None","Quercus sp"
11187,"Moderate","Pyrus calleryana cvs"
11188,"None","Acer sp"
11189,"None","Liquidambar styraciflua"
11190,"None","Liquidambar styraciflua"
11191,"None","Lagerstroemia indica"
11192,"None","Prunus cerasifera/blireiana"
11193,"None","Pistacia chinensis"
11194,"None","Nerium oleander"
11195,"None","Liquidambar styraciflua"
11196,"Moderate","Pyrus calleryana cvs"
11197,"None","Pyrus calleryana cvs"
11198,"Low","Eucalyptus sp"
11199,"Low","Liquidambar styraciflua"
11200,"None","Celtis sp"
11201,"None","Lagerstroemia indica"
11202,"None","Pyrus kawakami"
11203,"None","Fraxinus o. `Raywood'"
11204,"None","Dodonaea sp"
11205,"None","Leptospermum sp"
11206,"None","Platanus acerifolia"
11207,"None","Pistacia chinensis"
11208,"None","Lagerstroemia indica"
11209,"None","Fraxinus o. `Raywood'"
11210,"None","Fraxinus o. `Raywood'"
11211,"None","Pyrus calleryana cvs"
11212,"None","Fraxinus o. `Raywood'"
11213,"Moderate","Prunus cerasifera/blireiana"
11214,"Low","Pyrus calleryana cvs"
11215,"None","Liquidambar styraciflua"
11216,"Moderate","Liquidambar styraciflua"
11217,"None","Shrub"
11218,"None","Liquidambar styraciflua"
11219,"None","Pistacia chinensis"
11220,"None","Lagerstroemia indica"
11221,"None","Liquidambar styraciflua"
11222,"None","Prunus cerasifera/blireiana"
11223,"None","Fraxinus o. `Raywood'"
11224,"None","Prunus cerasifera/blireiana"
11225,"None","Pyrus kawakami"
11226,"None","Liquidambar styraciflua"
11227,"Low","Pistacia chinensis"
11228,"None","Fraxinus o. `Raywood'"
11229,"None","Eucalyptus polyanthemos"
11230,"None","Shrub"
11231,"Low","Lagerstroemia indica"
11232,"Low","Lagerstroemia indica"
11233,"None","Pyrus calleryana cvs"
11234,"None","Washingtonia robusta"
11235,"None","Pyrus calleryana cvs"
11236,"None","Pyrus calleryana cvs"
11237,"None","Prunus sp"
11238,"None","Prunus cerasifera/blireiana"
11239,"None","Eucalyptus sp"
11240,"Low","Other"
11241,"None","Lyonothamnus asplinifolia"
11242,"None","Pyrus calleryana cvs"
11243,"None","Pyrus calleryana cvs"
11244,"None","Liquidambar styraciflua"
11245,"None","Celtis sp"
11246,"Moderate","Liquidambar styraciflua"
11247,"Low","Lagerstroemia indica"
11248,"None","Betula sp"
11249,"None","Platanus acerifolia"
11250,"None","Syagrus romanzoffianum"
11251,"None","Celtis sp"
11252,"None","Betula sp"
11253,"None","Lagerstroemia indica"
11254,"None","Fraxinus o. `Raywood'"
11255,"None","Pyrus calleryana cvs"
11256,"None","Platanus acerifolia"
11257,"Low","Pistacia chinensis"
11258,"None","Fraxinus o. `Raywood'"
11259,"Moderate","Pyrus calleryana cvs"
11260,"None","Schinus terebinthefolia"
11261,"None","Celtis sp"
11262,"None","Pyrus calleryana cvs"
11263,"None","Fraxinus o. `Raywood'"
11264,"None","Pyrus calleryana cvs"
11265,"Moderate","Pyrus calleryana cvs"
11266,"None","Platanus acerifolia"
11267,"None","Pyrus kawakami"
11268,"Low","Pistacia chinensis"
11269,"None","Prunus sp"
11270,"None","Liquidambar styraciflua"
11271,"None","Olea europaea"
11272,"Low","Liquidambar styraciflua"
11273,"None","Platanus acerifolia"
11274,"Low","Pyrus kawakami"
11275,"None","Acer sp"
11276,"None","Platanus acerifolia"
11277,"None","Populus sp"
11278,"None","Platanus acerifolia"
11279,"None","Acer sp"
11280,"None","Unknown"
11281,"None","Cupressus sp"
11282,"None","Platanus acerifolia"
11283,"None","Liquidambar styraciflua"
11284,"Low","Unknown"
11285,"Moderate","Lagerstroemia indica"
11286,"None","Acer sp"
11287,"None","Olea europaea"
11288,"None","Pyrus calleryana cvs"
11289,"None","Quercus agrifolia"
11290,"Low","Lagerstroemia indica"
11291,"Low","Liquidambar styraciflua"
11292,"Low","Jacaranda acutifolia"
11293,"None","Platanus acerifolia"
11294,"None","Fraxinus o. `Raywood'"
11295,"None","Pyrus calleryana cvs"
11296,"None","Pyrus calleryana cvs"
11297,"None","Shrub"
11298,"None","Liquidambar styraciflua"
11299,"Low","Other"
11300,"None","Pyrus calleryana cvs"
11301,"None","Callistemon sp"
11302,"None","Lagerstroemia indica"
11303,"None","Shrub"
11304,"None","Malus sp"
11305,"None","Quercus sp"
11306,"None","Pyrus calleryana cvs"
11307,"None","Celtis sp"
11308,"Low","Pyrus kawakami"
11309,"None","Pistacia chinensis"
11310,"None","Fraxinus o. `Raywood'"
11311,"None","Other"
11312,"Moderate","Platanus acerifolia"
11313,"Low","Fraxinus o. `Raywood'"
11314,"Low","Prunus sp"
11315,"None","Platanus acerifolia"
11316,"Low","Celtis sp"
11317,"None","Celtis sp"
11318,"Low","Fraxinus sp"
11319,"None","Acer sp"
11320,"None","Tristaniopsis laurina"
11321,"None","Pyrus calleryana cvs"
11322,"Low","Fraxinus o. `Raywood'"
11323,"None","Celtis sp"
11324,"None","Fraxinus o. `Raywood'"
11325,"None","Fraxinus o. `Raywood'"
11326,"None","Pistacia chinensis"
11327,"Low","Washingtonia robusta"
11328,"Low","Geijera parvifolia"
11329,"High","Pyrus calleryana cvs"
11330,"None","Ulmus parvifolia"
11331,"None","Fraxinus sp"
11332,"None","Pyrus calleryana cvs"
11333,"Moderate","Celtis sp"
11334,"None","Crataegus phaenopyrum"
11335,"None","Liquidambar styraciflua"
11336,"None","Pyrus calleryana cvs"
11337,"High","Lophostemon confertus"
11338,"Low","Fraxinus sp"
11339,"None","Liquidambar styraciflua"
11340,"Low","Lagerstroemia indica"
11341,"Low","Prunus sp"
11342,"None","Ulmus parvifolia"
11343,"None","Pinus sp"
11344,"Moderate","Fraxinus sp"
11345,"None","Cordyline australis"
11346,"None","Other"
11347,"None","Lagerstroemia indica"
11348,"None","Liquidambar styraciflua"
11349,"Low","Jacaranda acutifolia"
11350,"None","Syringa vulgaris"
11351,"None","Lagerstroemia indica"
11352,"None","Prunus sp"
11353,"None","Tristaniopsis laurina"
11354,"None","Pyrus calleryana cvs"
11355,"Moderate","Cinnamomum camphora"
11356,"High","Pyrus calleryana cvs"
11357,"Low","Pyrus calleryana cvs"
11358,"None","Acer sp"
11359,"None","Shrub"
11360,"Low","Prunus sp"
11361,"None","Pistacia chinensis"
11362,"None","Jacaranda acutifolia"
11363,"None","Prunus cerasifera/blireiana"
11364,"None","Platanus acerifolia"
11365,"Low","Pistacia chinensis"
11366,"None","Fraxinus o. `Raywood'"
11367,"None","Platanus acerifolia"
11368,"None","Platanus acerifolia"
11369,"None","Prunus sp"
11370,"None","Fraxinus o. `Raywood'"
11371,"None","Fraxinus sp"
11372,"None","Celtis sp"
11373,"None","Prunus sp"
11374,"None","Celtis sp"
11375,"None","Pyrus calleryana cvs"
11376,"None","Liquidambar styraciflua"
11377,"None","Betula sp"
11378,"None","Platanus acerifolia"
11379,"None","Prunus cerasifera/blireiana"
11380,"None","Other"
11381,"None","Celtis sp"
11382,"None","Ulmus parvifolia"
11383,"Low","Cercis sp"
11384,"None","Jacaranda acutifolia"
11385,"Low","Prunus sp"
11386,"None","Lagerstroemia indica"
11387,"Low","Celtis sp"
11388,"None","Cercis sp"
11389,"Low","Fraxinus o. `Raywood'"
11390,"None","Pyrus kawakami"
11391,"None","Lagerstroemia indica"
11392,"Moderate","Prunus cerasifera/blireiana"
11393,"Low","Other"
11394,"None","Acer sp"
11395,"None","Jacaranda acutifolia"
11396,"None","Celtis sp"
11397,"None","Liquidambar styraciflua"
11398,"None","Gleditsia triacanthos"
11399,"None","Guava"
11400,"None","Prunus sp"
11401,"None","Lagerstroemia indica"
11402,"None","Cinnamomum camphora"
11403,"Moderate","Pyrus calleryana cvs"
11404,"Moderate","Geijera parvifolia"
11405,"None","Unknown"
11406,"Low","Fraxinus o. `Raywood'"
11407,"None","Acer sp"
11408,"None","Malus floribunda"
11409,"None","Datura"
11410,"None","Ulmus parvifolia"
11411,"None","Fraxinus o. `Raywood'"
11412,"Moderate","Pyrus calleryana cvs"
11413,"None","Pyrus calleryana cvs"
11414,"None","Pyrus calleryana cvs"
11415,"Moderate","Gleditsia triacanthos"
11416,"Low","Fraxinus o. `Raywood'"
11417,"Moderate","Gleditsia triacanthos"
11418,"None","Fraxinus o. `Raywood'"
11419,"None","Fraxinus o. `Raywood'"
11420,"None","Magnolia grandiflora"
11421,"None","Fraxinus sp"
11422,"None","Pyrus calleryana cvs"
11423,"None","Pyrus kawakami"
11424,"Moderate","Platanus acerifolia"
11425,"None","Fraxinus sp"
11426,"None","Celtis sp"
11427,"None","Acer sp"
11428,"None","Pyrus calleryana cvs"
11429,"Low","Fraxinus o. `Raywood'"
11430,"Moderate","Lagerstroemia indica"
11431,"Low","Platanus acerifolia"
11432,"None","Lagerstroemia indica"
11433,"None","Pistacia chinensis"
11434,"Low","Fraxinus sp"
11435,"None","Crataegus phaenopyrum"
11436,"None","Lagerstroemia indica"
11437,"None","Maytenus boaria"
11438,"Low","Lagerstroemia indica"
11439,"None","Ginkgo biloba"
11440,"None","Pistacia chinensis"
11441,"None","Malus sp"
11442,"None","Prunus cerasifera/blireiana"
11443,"Low","Platanus acerifolia"
11444,"None","Ulmus parvifolia"
11445,"None","Acer sp"
11446,"Low","Liquidambar styraciflua"
11447,"None","Pyrus calleryana cvs"
11448,"None","Fraxinus sp"
11449,"Low","Fraxinus o. `Raywood'"
11450,"None","Pyrus calleryana cvs"
11451,"None","Sequoia sempervirens"
11452,"None","Crataegus phaenopyrum"
11453,"None","Fraxinus sp"
11454,"Moderate","Pyrus calleryana cvs"
11455,"High","Pyrus calleryana cvs"
11456,"None","Fraxinus sp"
11457,"None","Celtis sp"
11458,"Low","Tristaniopsis laurina"
11459,"High","Liquidambar styraciflua"
11460,"None","Malus sp"
11461,"None","Platanus acerifolia"
11462,"None","Liquidambar styraciflua"
11463,"None","Celtis sp"
11464,"Low","Ulmus parvifolia"
11465,"Low","Lagerstroemia indica"
11466,"Low","Jacaranda acutifolia"
11467,"None","Stump"
11468,"Moderate","Pyrus calleryana cvs"
11469,"None","Celtis sp"
11470,"High","Cercis sp"
11471,"Low","Stump"
11472,"Low","Prunus sp"
11473,"None","Pyrus calleryana cvs"
11474,"None","Prunus sp"
11475,"None","Platanus acerifolia"
11476,"None","Celtis sp"
11477,"None","Celtis sp"
11478,"None","Malus floribunda"
11479,"None","Prunus cerasifera/blireiana"
11480,"None","Celtis sp"
11481,"None","Fraxinus sp"
11482,"None","Pyrus calleryana cvs"
11483,"Low","Tristaniopsis laurina"
11484,"None","Cercis sp"
11485,"None","Fagus sylvatica"
11486,"None","Pistacia chinensis"
11487,"None","Liquidambar styraciflua"
11488,"Low","Pistacia chinensis"
11489,"None","Gleditsia triacanthos"
11490,"None","Jacaranda acutifolia"
11491,"Low","Fraxinus o. `Raywood'"
11492,"Low","Ulmus parvifolia"
11493,"Low","Fraxinus sp"
11494,"Moderate","Pistacia chinensis"
11495,"None","Cinnamomum camphora"
11496,"None","Celtis sp"
